Prefix	DIV	BioProject	BioSample	Organism	# of Contigs	Total length of Contigs, b	Has annotated Contigs	# of Scaffolds	Scaffolds range	Has annotated Scaffolds	# of Proteins	Genome range	Update date	Create date	Status
JSYV01	PLN	PRJNA261108	SAMN03068951	TALAROMYCES LEYCETTANUS	991	25946254	no	0		no	0		2014-11-26 00:00:00	2014-11-26 00:00:00	1
JSZA01	BCT	PRJNA266451	SAMN03165106	CANDIDATUS THIOMARGARITA NELSONII	2481	12912102	yes	0		no	9975		2014-11-17 00:00:00	2014-11-17 00:00:00	1
JSZH01	BCT	PRJNA266604	SAMN03164129	XANTHOMONAS EUVESICATORIA	317	5103637	yes	0		no	4209		2015-02-26 00:00:00	2014-12-16 00:00:00	1
JSZK01	BCT	PRJNA261239	SAMN03076171	KLEBSIELLA PNEUMONIAE	42	5570720	yes	0		no	5299		2015-01-28 00:00:00	2014-12-01 00:00:00	1
JSZM01	BCT	PRJNA266742	SAMN03174114	LYSINIBACILLUS SP. A1	57	4752216	yes	0		no	4449		2014-12-16 00:00:00	2014-12-16 00:00:00	1
JSZT01	BCT	PRJNA264742	SAMN03165118	BACILLUS ANTHRACIS	46	5353374	yes	0		no	5483		2014-11-14 00:00:00	2014-11-14 00:00:00	1
JSZW01	BCT	PRJNA264742	SAMN03165121	BACILLUS ANTHRACIS	45	5450315	yes	0		no	5550		2014-11-14 00:00:00	2014-11-14 00:00:00	1
JZHC01	BCT	PRJNA277144	SAMN03386933	LISTERIA MONOCYTOGENES	44	3024283	yes	0		no	2944		2015-03-17 00:00:00	2015-03-17 00:00:00	1
JZJD01	BCT	PRJNA262565	SAMN03084868	ACINETOBACTER BAUMANNII	305	3832772	yes	0		no	3621		2015-03-06 00:00:00	2015-03-06 00:00:00	1
JZJE01	BCT	PRJNA262565	SAMN03084867	ACINETOBACTER BAUMANNII	116	3789193	yes	0		no	3472		2015-03-06 00:00:00	2015-03-06 00:00:00	1
JZSJ01	BCT	PRJNA243331	SAMN03295486	PHOTOBACTERIUM PHOSPHOREUM	164	4475676	yes	0		no	3555		2015-03-10 00:00:00	2015-03-10 00:00:00	1
JZSO01	BCT	PRJNA243331	SAMN03295481	PHOTOBACTERIUM ANGUSTUM	166	4935352	yes	0		no	4018		2015-03-10 00:00:00	2015-03-10 00:00:00	1
JZST01	BCT	PRJNA243331	SAMN03295476	PHOTOBACTERIUM ANGUSTUM	77	4766199	yes	0		no	3977		2015-03-10 00:00:00	2015-03-10 00:00:00	1
JZAL01	BCT	PRJNA276072	SAMN03365925	STAPHYLOCOCCUS AUREUS	24	2762774	no	0		no	0		2015-03-16 00:00:00	2015-03-16 00:00:00	1
JZCI01	BCT	PRJNA271775	SAMN03277103	ACINETOBACTER BAUMANNII	119	4003819	yes	0		no	3774		2015-03-03 00:00:00	2015-03-03 00:00:00	1
JYMK01	BCT	PRJNA272863	SAMN03333161	ENTEROBACTER CLOACAE	96	4917534	yes	0		no	4609		2015-03-13 00:00:00	2015-03-13 00:00:00	1
JYMN01	BCT	PRJNA272863	SAMN03333164	ENTEROBACTER CLOACAE	97	4964016	yes	0		no	4662		2015-03-13 00:00:00	2015-03-13 00:00:00	1
JYNO01	BCT	PRJNA262419	SAMN03351823	DESULFONATRONUM THIOAUTOTROPHICUM	63	4628410	no	7	KN882168:KN882174	no	0		2015-02-26 00:00:00	2015-02-26 00:00:00	1
JYID01	BCT	PRJNA218110	SAMN03333573	ESCHERICHIA COLI	335	4902430	yes	0		no	4806		2015-03-02 00:00:00	2015-03-02 00:00:00	1
JYIH01	BCT	PRJNA218110	SAMN03334847	ESCHERICHIA COLI	356	4908703	yes	0		no	4857		2015-03-02 00:00:00	2015-03-02 00:00:00	1
JYJX01	BCT	PRJNA269675	SAMN03256423	YERSINIA PESTIS SUBSP. MICROTUS BV. ULEGEICA	326	4624800	yes	0		no	4073		2015-03-11 00:00:00	2015-03-11 00:00:00	1
JYKR01	PRI	PRJNA251421	SAMN03121814	COLOBUS ANGOLENSIS PALLIATUS	197124	2679973137	no	6605	KN979384:KN985988	no	0		2015-03-12 00:00:00	2015-03-11 00:00:00	1
JYKU01	BCT	PRJNA275836	SAMN03353742	STREPTOCOCCUS GALLOLYTICUS SUBSP. GALLOLYTICUS	17	2311421	yes	0		no	2198		2015-03-10 00:00:00	2015-03-06 00:00:00	1
JYLQ01	BCT	PRJNA272863	SAMN03333141	ENTEROBACTER CLOACAE	42	4960991	yes	0		no	4649		2015-03-13 00:00:00	2015-03-13 00:00:00	1
JYFP01	BCT	PRJNA269214	SAMN03253089	STAPHYLOCOCCUS AUREUS	45	2877578	yes	0		no	2836		2015-02-24 00:00:00	2015-02-24 00:00:00	1
JYFS01	BCT	PRJNA272997	SAMN03288106	BACILLUS MYCOIDES	106	5785403	yes	0		no	5933		2015-02-23 00:00:00	2015-02-23 00:00:00	1
JYHK01	BCT	PRJNA274690	SAMN03328953	PSEUDOMONAS SYRINGAE PV. VIBURNI	265	6492303	no	0		no	0		2015-03-02 00:00:00	2015-03-02 00:00:00	1
JYHM01	BCT	PRJNA274889	SAMN03333326	ACIDOVORAX CITRULLI	24	4903443	no	0		no	0		2015-03-05 00:00:00	2015-03-05 00:00:00	1
JYHN01	BCT	PRJNA274493	SAMN03329171	CLOSTRIDIUM SP. FS41	97	6265866	yes	0		no	5731		2015-03-16 00:00:00	2015-03-16 00:00:00	1
JYBY01	PLN	PRJNA76691	SAMN03176947	EXOPHIALA SPINIFERA	143	32873413	no	28	KN847492:KN847519	yes	12049		2015-02-23 00:00:00	2015-02-10 00:00:00	1
JYCG01	BCT	PRJNA260743	SAMN03025781	ANOXYBACILLUS SP. ATCC BAA-2555	333	6975976	no	0		no	0		2015-03-05 00:00:00	2015-03-05 00:00:00	1
JYDZ01	BCT	PRJNA273809	SAMN03299096	CAMPYLOBACTER JEJUNI SUBSP. JEJUNI	78	1747984	yes	0		no	1732		2015-03-04 00:00:00	2015-03-04 00:00:00	1
JYEC01	BCT	PRJNA273815	SAMN03299123	CAMPYLOBACTER JEJUNI SUBSP. JEJUNI	61	1655384	yes	0		no	1622		2015-03-04 00:00:00	2015-03-04 00:00:00	1
JXXG01	BCT	PRJNA273926	SAMN03316823	ARCOBACTER ANAEROPHILUS	7	3247305	no	0		no	0		2015-02-27 00:00:00	2015-02-27 00:00:00	1
JXYS01	BCT	PRJNA273917	SAMN03301760	ACIDITHRIX FERROOXIDANS	183	4019867	yes	0		no	3651		2015-03-06 00:00:00	2015-03-06 00:00:00	1
JXTG01	BCT	PRJNA258494	SAMN03003524	ANOXYBACILLUS AYDERENSIS	74	2832347	yes	0		no	2895		2015-02-09 00:00:00	2015-02-09 00:00:00	1
JXTL01	BCT	PRJNA273703	SAMN03295272	PSEUDOMONAS STUTZERI	35	4597183	no	0		no	0		2015-03-13 00:00:00	2015-03-13 00:00:00	1
JXTO01	BCT	PRJNA272573	SAMN03283902	METHYLOBACTERIUM RADIOTOLERANS	271	6788652	yes	0		no	4835		2015-02-20 00:00:00	2015-02-20 00:00:00	1
JXVE01	BCT	PRJNA272927	SAMN03287760	VIBRIO PARAHAEMOLYTICUS	85	5124152	yes	0		no	4533		2015-02-20 00:00:00	2015-02-20 00:00:00	1
JXRA01	BCT	PRJNA273375	SAMN03291000	PEDOBACTER SP. NL19	201	5988187	yes	0		no	4601		2015-02-05 00:00:00	2015-02-05 00:00:00	1
JXRQ01	BCT	PRJNA259403	SAMN03005142	JEOTGALIBACILLUS ALIMENTARIUS	32	3364745	yes	0		no	3533		2015-01-27 00:00:00	2015-01-27 00:00:00	1
JXSA01	BCT	PRJNA272749	SAMN03287934	STAPHYLOCOCCUS AUREUS	1240	2852860	no	0		no	0		2015-02-03 00:00:00	2015-02-03 00:00:00	1
JXSF01	BCT	PRJNA272749	SAMN03287939	STAPHYLOCOCCUS AUREUS	306	2855004	no	0		no	0		2015-02-03 00:00:00	2015-02-03 00:00:00	1
JXSG01	BCT	PRJNA272749	SAMN03287940	STAPHYLOCOCCUS AUREUS	880	2823576	no	0		no	0		2015-02-03 00:00:00	2015-02-03 00:00:00	1
JXSX01	BCT	PRJNA273690	SAMN03295202	MICROMONOSPORA CARBONACEA	3	7626891	yes	0		no	5598		2015-02-17 00:00:00	2015-02-17 00:00:00	1
JXQM01	BCT	PRJNA272527	SAMN03283207	NITROSOSPIRA SP. NPAV	317	3450004	yes	0		no	2930		2015-02-03 00:00:00	2015-02-03 00:00:00	1
JXQP01	BCT	PRJNA270636	SAMN03267868	XANTHOMONAS CAMPESTRIS	47	5063135	yes	0		no	4117		2015-02-09 00:00:00	2015-02-09 00:00:00	1
JXLO01	BCT	PRJNA271419	SAMN03282436	BACILLUS BADIUS	22	4063862	yes	0		no	4463		2015-02-23 00:00:00	2015-01-27 00:00:00	1
